id,name,country,confederation,founded_year,stadium,nickname,image_url,website,description,ranking,category,total_trophies,world_cup_titles,manager,captain,main_rivals,honors_json,last_updated
12,Italy,Italy,UEFA,1900,National Stadium of Italy,The Italy Team,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Logo_Italy_National_Football_Team_-_2023.svg/330px-Logo_Italy_National_Football_Team_-_2023.svg.png,https://en.wikipedia.org/wiki/Italy_national_football_team,The Italy national men's football team.,12,men,6,4,TBD,TBD,Neighboring Countries,"{""World Cup"": 4, ""European Championship"": 2}",2026-05-11T05:56:20.693378+00:00
13,Colombia,Colombia,CONMEBOL,1900,National Stadium of Colombia,The Colombia Team,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/FCF-Logo-2023.svg/330px-FCF-Logo-2023.svg.png,https://en.wikipedia.org/wiki/Colombia_national_football_team,The Colombia national men's football team.,13,men,1,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Copa América"": 1}",2026-05-11T05:56:26.115341+00:00
14,Senegal,Senegal,CAF,1900,National Stadium of Senegal,The Senegal Team,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Flag_of_Senegal.svg/330px-Flag_of_Senegal.svg.png,https://en.wikipedia.org/wiki/Senegal_national_football_team,The Senegal national men's football team.,14,men,1,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Africa Cup of Nations"": 1}",2026-05-11T05:56:30.828421+00:00
17,Uruguay,Uruguay,CONMEBOL,1900,National Stadium of Uruguay,The Uruguay Team,https://upload.wikimedia.org/wikipedia/en/thumb/4/43/Uruguay_national_football_team_seal.svg/330px-Uruguay_national_football_team_seal.svg.png,https://en.wikipedia.org/wiki/Uruguay_national_football_team,The Uruguay national men's football team.,17,men,17,2,TBD,TBD,Neighboring Countries,"{""World Cup"": 2, ""Copa América"": 15}",2026-05-11T05:56:46.850514+00:00
61,Paraguay,Paraguay,CONMEBOL,1900,National Stadium of Paraguay,The Paraguay Team,,https://en.wikipedia.org/wiki/Paraguay_national_football_team,The Paraguay national men's football team.,40,men,2,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Copa América"": 2}",2026-05-11T06:04:24.980476+00:00
11,Croatia,Croatia,UEFA,1900,National Stadium of Croatia,The Croatia Team,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Croatia.svg/330px-Flag_of_Croatia.svg.png,https://en.wikipedia.org/wiki/Croatia_national_football_team,The Croatia national men's football team.,11,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T05:56:16.110939+00:00
15,Mexico,Mexico,CONCACAF,1900,National Stadium of Mexico,The Mexico Team,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Mexico_national_football_team_crest.svg/330px-Mexico_national_football_team_crest.svg.png,https://en.wikipedia.org/wiki/Mexico_national_football_team,The Mexico national men's football team.,15,men,13,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""CONCACAF Gold Cup"": 13}",2026-05-11T06:02:37.667854+00:00
62,Czechia,Czechia,UEFA,1900,National Stadium of Czechia,The Czechia Team,,https://en.wikipedia.org/wiki/Czechia_national_football_team,The Czechia national men's football team.,41,men,2,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 2}",2026-05-11T06:04:28.874224+00:00
63,Hungary,Hungary,UEFA,1900,National Stadium of Hungary,The Hungary Team,,https://en.wikipedia.org/wiki/Hungary_national_football_team,The Hungary national men's football team.,42,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T06:04:32.655051+00:00
64,Scotland,Scotland,UEFA,1900,National Stadium of Scotland,The Scotland Team,,https://en.wikipedia.org/wiki/Scotland_national_football_team,The Scotland national men's football team.,43,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T06:04:36.645493+00:00
65,Tunisia,Tunisia,CAF,1900,National Stadium of Tunisia,The Tunisia Team,,https://en.wikipedia.org/wiki/Tunisia_national_football_team,The Tunisia national men's football team.,44,men,1,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Africa Cup of Nations"": 1}",2026-05-11T06:04:41.536678+00:00
66,Cameroon,Cameroon,CAF,1900,National Stadium of Cameroon,The Cameroon Team,,https://en.wikipedia.org/wiki/Cameroon_national_football_team,The Cameroon national men's football team.,45,men,5,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Africa Cup of Nations"": 5}",2026-05-11T06:04:44.777461+00:00
67,Congo DR,Congo DR,CAF,1900,National Stadium of Congo DR,The Congo DR Team,,https://en.wikipedia.org/wiki/Congo_DR_national_football_team,The Congo DR national men's football team.,46,men,2,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Africa Cup of Nations"": 2}",2026-05-11T06:04:49.938096+00:00
68,Greece,Greece,UEFA,1900,National Stadium of Greece,The Greece Team,,https://en.wikipedia.org/wiki/Greece_national_football_team,The Greece national men's football team.,47,men,1,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 1}",2026-05-11T06:04:54.618701+00:00
69,Slovakia,Slovakia,UEFA,1900,National Stadium of Slovakia,The Slovakia Team,,https://en.wikipedia.org/wiki/Slovakia_national_football_team,The Slovakia national men's football team.,48,men,3,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 3}",2026-05-11T06:04:59.468990+00:00
70,Venezuela,Venezuela,CONMEBOL,1900,National Stadium of Venezuela,The Venezuela Team,,https://en.wikipedia.org/wiki/Venezuela_national_football_team,The Venezuela national men's football team.,49,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Copa América"": 0}",2026-05-11T06:05:03.562279+00:00
71,Uzbekistan,Uzbekistan,AFC,1900,National Stadium of Uzbekistan,The Uzbekistan Team,,https://en.wikipedia.org/wiki/Uzbekistan_national_football_team,The Uzbekistan national men's football team.,50,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""AFC Asian Cup"": 0}",2026-05-11T06:05:08.648695+00:00
72,Costa Rica,Costa Rica,CONCACAF,1900,National Stadium of Costa Rica,The Costa Rica Team,,https://en.wikipedia.org/wiki/Costa_Rica_national_football_team,The Costa Rica national men's football team.,51,men,3,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""CONCACAF Gold Cup"": 3}",2026-05-11T06:05:13.332479+00:00
73,Mali,Mali,CAF,1900,National Stadium of Mali,The Mali Team,,https://en.wikipedia.org/wiki/Mali_national_football_team,The Mali national men's football team.,52,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Africa Cup of Nations"": 0}",2026-05-11T06:05:18.437429+00:00
22,United States,United States,Unknown,1901,National Stadium of United States,The United States Team,,https://en.wikipedia.org/wiki/United_States_women's_national_football_team,"United States women's national football team may refer to:United States women's national American football team
United States women's national Australian rules football team
United States women's national soccer team",2,women,2,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Continental Cup"": 0}",2026-05-08T04:16:13.040836+00:00
26,Brazil,Brazil,CONMEBOL,1900,National Stadium of Brazil,The Brazil Team,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Confedera%C3%A7%C3%A3o_Brasileira_de_Futebol_logo_%282020%2C_women%29.svg/330px-Confedera%C3%A7%C3%A3o_Brasileira_de_Futebol_logo_%282020%2C_women%29.svg.png,https://en.wikipedia.org/wiki/Brazil_women's_national_football_team,The Brazil national women's football team.,6,women,9,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Copa América"": 9}",2026-05-11T06:18:00.858017+00:00
20,Denmark,Denmark,UEFA,1900,National Stadium of Denmark,The Denmark Team,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Dansk_boldspil_union_logo.svg/330px-Dansk_boldspil_union_logo.svg.png,https://en.wikipedia.org/wiki/Denmark_national_football_team,The Denmark national men's football team.,20,men,1,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 1}",2026-05-11T05:56:59.834890+00:00
21,Spain,Spain,UEFA,1900,National Stadium of Spain,The Spain Team,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/Spain_national_football_team_crest.svg/330px-Spain_national_football_team_crest.svg.png,https://en.wikipedia.org/wiki/Spain_women's_national_football_team,The Spain national women's football team.,1,women,1,1,TBD,TBD,Neighboring Countries,"{""World Cup"": 1, ""European Championship"": 0}",2026-05-11T06:17:35.099007+00:00
23,England,England,UEFA,1900,National Stadium of England,The England Team,https://upload.wikimedia.org/wikipedia/en/thumb/3/38/England_crest_2009.svg/330px-England_crest_2009.svg.png,https://en.wikipedia.org/wiki/England_women's_national_football_team,The England national women's football team.,3,women,2,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 2}",2026-05-11T06:17:47.051613+00:00
24,Germany,Germany,UEFA,1900,National Stadium of Germany,The Germany Team,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/DFBWomen.svg/330px-DFBWomen.svg.png,https://en.wikipedia.org/wiki/Germany_women's_national_football_team,The Germany national women's football team.,4,women,10,2,TBD,TBD,Neighboring Countries,"{""World Cup"": 2, ""European Championship"": 8}",2026-05-11T06:17:51.983132+00:00
25,Japan,Japan,AFC,1900,National Stadium of Japan,The Japan Team,,https://en.wikipedia.org/wiki/Japan_women's_national_football_team,The Japan national women's football team.,5,women,4,1,TBD,TBD,Neighboring Countries,"{""World Cup"": 1, ""AFC Asian Cup"": 3}",2026-05-11T06:17:57.350771+00:00
27,France,France,UEFA,1900,National Stadium of France,The France Team,https://upload.wikimedia.org/wikipedia/en/thumb/5/58/France_women%27s_national_football_team_logo.svg/330px-France_women%27s_national_football_team_logo.svg.png,https://en.wikipedia.org/wiki/France_women's_national_football_team,The France national women's football team.,7,women,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T06:18:05.358415+00:00
28,Sweden,Sweden,UEFA,1900,National Stadium of Sweden,The Sweden Team,https://upload.wikimedia.org/wikipedia/en/thumb/3/3f/Sweden_national_football_team_badge.svg/330px-Sweden_national_football_team_badge.svg.png,https://en.wikipedia.org/wiki/Sweden_women's_national_football_team,The Sweden national women's football team.,8,women,1,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 1}",2026-05-11T06:18:09.657367+00:00
29,Canada,Canada,CONCACAF,1900,National Stadium of Canada,The Canada Team,,https://en.wikipedia.org/wiki/Canada_women's_national_football_team,The Canada national women's football team.,9,women,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""CONCACAF Gold Cup"": 0}",2026-05-11T06:18:19.287395+00:00
31,North Korea,North Korea,Unknown,1921,National Stadium of North Korea,The North Korea Team,,https://en.wikipedia.org/wiki/North_Korea_women's_national_football_team,No description available.,11,women,1,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Continental Cup"": 0}",2026-05-08T04:16:48.627016+00:00
36,China,China,Unknown,1913,National Stadium of China,The China Team,https://upload.wikimedia.org/wikipedia/en/thumb/0/03/China_national_football_team.svg/330px-China_national_football_team.svg.png,https://en.wikipedia.org/wiki/China_women's_national_football_team,China women's national football team represents the People's Republic of China in international women's football competitions and is governed by the Chinese Football Association.,16,women,2,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Continental Cup"": 0}",2026-05-08T04:17:10.806002+00:00
39,South Korea,South Korea,Unknown,1914,National Stadium of South Korea,The South Korea Team,,https://en.wikipedia.org/wiki/South_Korea_women's_national_football_team,"The South Korea women's national football team represents South Korea in international women's football competitions. The South Korean women's team has qualified for five FIFA World Cups in 2003, 2015, 2019, 2023 and 2027.",19,women,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Continental Cup"": 0}",2026-05-08T04:17:20.613902+00:00
38,Belgium,Belgium,UEFA,1900,National Stadium of Belgium,The Belgium Team,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Royal_Belgian_FA_logo_2019.svg/330px-Royal_Belgian_FA_logo_2019.svg.png,https://en.wikipedia.org/wiki/Belgium_women's_national_football_team,The Belgium national women's football team.,18,women,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T06:19:03.366486+00:00
74,Peru,Peru,CONMEBOL,1900,National Stadium of Peru,The Peru Team,,https://en.wikipedia.org/wiki/Peru_national_football_team,The Peru national men's football team.,53,men,2,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Copa América"": 2}",2026-05-11T06:05:23.278479+00:00
75,Chile,Chile,CONMEBOL,1900,National Stadium of Chile,The Chile Team,,https://en.wikipedia.org/wiki/Chile_national_football_team,The Chile national men's football team.,54,men,2,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Copa América"": 2}",2026-05-11T06:05:27.525511+00:00
32,Denmark,Denmark,UEFA,1900,National Stadium of Denmark,The Denmark Team,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/330px-Flag_of_Denmark.svg.png,https://en.wikipedia.org/wiki/Denmark_women's_national_football_team,The Denmark national women's football team.,12,women,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T06:18:35.231615+00:00
33,Norway,Norway,UEFA,1900,National Stadium of Norway,The Norway Team,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Norway.svg/330px-Flag_of_Norway.svg.png,https://en.wikipedia.org/wiki/Norway_women's_national_football_team,The Norway national women's football team.,13,women,3,1,TBD,TBD,Neighboring Countries,"{""World Cup"": 1, ""European Championship"": 2}",2026-05-11T06:18:41.559810+00:00
34,Italy,Italy,UEFA,1900,National Stadium of Italy,The Italy Team,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Logo_Italy_National_Womens_Football_Team_2023_%28no_stars%29.svg/330px-Logo_Italy_National_Womens_Football_Team_2023_%28no_stars%29.svg.png,https://en.wikipedia.org/wiki/Italy_women's_national_football_team,The Italy national women's football team.,14,women,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T06:18:46.491972+00:00
35,Australia,Australia,AFC,1900,National Stadium of Australia,The Australia Team,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Australia_national_football_team_badge.svg/330px-Australia_national_football_team_badge.svg.png,https://en.wikipedia.org/wiki/Australia_women's_national_football_team,The Australia national women's football team.,15,women,1,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""AFC Asian Cup"": 1}",2026-05-11T06:18:50.349635+00:00
37,Iceland,Iceland,UEFA,1900,National Stadium of Iceland,The Iceland Team,https://upload.wikimedia.org/wikipedia/en/thumb/6/6d/Iceland_national_football_team_logo.svg/330px-Iceland_national_football_team_logo.svg.png,https://en.wikipedia.org/wiki/Iceland_women's_national_football_team,The Iceland national women's football team.,17,women,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T06:18:58.676889+00:00
1,France,France,UEFA,1900,National Stadium of France,The France Team,https://upload.wikimedia.org/wikipedia/en/thumb/1/12/France_national_football_team_seal.svg/330px-France_national_football_team_seal.svg.png,https://en.wikipedia.org/wiki/France_national_football_team,The France national men's football team.,1,men,4,2,TBD,TBD,Neighboring Countries,"{""World Cup"": 2, ""European Championship"": 2}",2026-05-11T05:55:31.736964+00:00
41,USA,USA,CONCACAF,1900,National Stadium of USA,The USA Team,,https://en.wikipedia.org/wiki/USA_national_football_team,The USA national men's football team.,16,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""CONCACAF Gold Cup"": 0}",2026-05-11T05:56:42.927176+00:00
19,Switzerland,Switzerland,UEFA,1900,National Stadium of Switzerland,The Switzerland Team,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Civil_Ensign_of_Switzerland_%28Pantone%29.svg/330px-Civil_Ensign_of_Switzerland_%28Pantone%29.svg.png,https://en.wikipedia.org/wiki/Switzerland_national_football_team,The Switzerland national men's football team.,19,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T05:56:55.814357+00:00
54,Panama,Panama,CONCACAF,1900,National Stadium of Panama,The Panama Team,,https://en.wikipedia.org/wiki/Panama_national_football_team,The Panama national men's football team.,33,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""CONCACAF Gold Cup"": 0}",2026-05-11T06:03:54.437955+00:00
43,Türkiye,Türkiye,UEFA,1900,National Stadium of Türkiye,The Türkiye Team,,https://en.wikipedia.org/wiki/Türkiye_national_football_team,The Türkiye national men's football team.,22,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T05:57:11.715639+00:00
44,Ecuador,Ecuador,CONMEBOL,1900,National Stadium of Ecuador,The Ecuador Team,,https://en.wikipedia.org/wiki/Ecuador_national_football_team,The Ecuador national men's football team.,23,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Copa América"": 0}",2026-05-11T05:57:15.297846+00:00
45,Austria,Austria,UEFA,1900,National Stadium of Austria,The Austria Team,,https://en.wikipedia.org/wiki/Austria_national_football_team,The Austria national men's football team.,24,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T05:57:18.854725+00:00
47,Nigeria,Nigeria,CAF,1900,National Stadium of Nigeria,The Nigeria Team,,https://en.wikipedia.org/wiki/Nigeria_national_football_team,The Nigeria national men's football team.,26,men,3,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Africa Cup of Nations"": 3}",2026-05-11T06:01:17.587816+00:00
42,IR Iran,IR Iran,AFC,1900,National Stadium of IR Iran,The IR Iran Team,,https://en.wikipedia.org/wiki/IR_Iran_national_football_team,The IR Iran national men's football team.,21,men,3,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""AFC Asian Cup"": 3}",2026-05-11T06:03:04.847688+00:00
48,Australia,Australia,AFC,1900,National Stadium of Australia,The Australia Team,,https://en.wikipedia.org/wiki/Australia_national_football_team,The Australia national men's football team.,27,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""AFC Asian Cup"": 0}",2026-05-11T05:57:35.041924+00:00
49,Algeria,Algeria,CAF,1900,National Stadium of Algeria,The Algeria Team,,https://en.wikipedia.org/wiki/Algeria_national_football_team,The Algeria national men's football team.,28,men,2,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Africa Cup of Nations"": 2}",2026-05-11T05:57:38.900795+00:00
50,Egypt,Egypt,CAF,1900,National Stadium of Egypt,The Egypt Team,,https://en.wikipedia.org/wiki/Egypt_national_football_team,The Egypt national men's football team.,29,men,7,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Africa Cup of Nations"": 7}",2026-05-11T05:57:43.220419+00:00
51,Canada,Canada,CONCACAF,1900,National Stadium of Canada,The Canada Team,,https://en.wikipedia.org/wiki/Canada_national_football_team,The Canada national men's football team.,30,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""CONCACAF Gold Cup"": 0}",2026-05-11T05:57:50.219775+00:00
52,Norway,Norway,UEFA,1900,National Stadium of Norway,The Norway Team,,https://en.wikipedia.org/wiki/Norway_national_football_team,The Norway national men's football team.,31,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T05:57:55.197376+00:00
53,Ukraine,Ukraine,UEFA,1900,National Stadium of Ukraine,The Ukraine Team,,https://en.wikipedia.org/wiki/Ukraine_national_football_team,The Ukraine national men's football team.,32,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T05:57:58.763119+00:00
55,Côte d'Ivoire,Côte d'Ivoire,CAF,1900,National Stadium of Côte d'Ivoire,The Côte d'Ivoire Team,,https://en.wikipedia.org/wiki/Côte_d'Ivoire_national_football_team,The Côte d'Ivoire national men's football team.,34,men,3,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""Africa Cup of Nations"": 3}",2026-05-11T05:58:09.129365+00:00
56,Poland,Poland,UEFA,1900,National Stadium of Poland,The Poland Team,,https://en.wikipedia.org/wiki/Poland_national_football_team,The Poland national men's football team.,35,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T05:58:14.576640+00:00
57,Russia,Russia,UEFA,1900,National Stadium of Russia,The Russia Team,,https://en.wikipedia.org/wiki/Russia_national_football_team,The Russia national men's football team.,36,men,3,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 3}",2026-05-11T05:58:20.423328+00:00
58,Wales,Wales,UEFA,1900,National Stadium of Wales,The Wales Team,,https://en.wikipedia.org/wiki/Wales_national_football_team,The Wales national men's football team.,37,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T05:58:24.403380+00:00
59,Sweden,Sweden,UEFA,1900,National Stadium of Sweden,The Sweden Team,,https://en.wikipedia.org/wiki/Sweden_national_football_team,The Sweden national men's football team.,38,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T05:58:29.998596+00:00
60,Serbia,Serbia,UEFA,1900,National Stadium of Serbia,The Serbia Team,,https://en.wikipedia.org/wiki/Serbia_national_football_team,The Serbia national men's football team.,39,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T05:58:35.551978+00:00
46,Korea Republic,Korea Republic,AFC,1900,National Stadium of Korea Republic,The Korea Republic Team,,https://en.wikipedia.org/wiki/Korea_Republic_national_football_team,The Korea Republic national men's football team.,25,men,2,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""AFC Asian Cup"": 2}",2026-05-11T06:03:19.770823+00:00
77,Romania,Romania,UEFA,1900,National Stadium of Romania,The Romania Team,,https://en.wikipedia.org/wiki/Romania_national_football_team,The Romania national men's football team.,56,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T06:05:36.203138+00:00
78,Iraq,Iraq,AFC,1900,National Stadium of Iraq,The Iraq Team,,https://en.wikipedia.org/wiki/Iraq_national_football_team,The Iraq national men's football team.,57,men,1,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""AFC Asian Cup"": 1}",2026-05-11T06:05:42.268066+00:00
79,Slovenia,Slovenia,UEFA,1900,National Stadium of Slovenia,The Slovenia Team,,https://en.wikipedia.org/wiki/Slovenia_national_football_team,The Slovenia national men's football team.,58,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T06:05:47.184395+00:00
80,Republic of Ireland,Republic of Ireland,UEFA,1900,National Stadium of Republic of Ireland,The Republic of Ireland Team,,https://en.wikipedia.org/wiki/Republic_of_Ireland_national_football_team,The Republic of Ireland national men's football team.,59,men,0,0,TBD,TBD,Neighboring Countries,"{""World Cup"": 0, ""European Championship"": 0}",2026-05-11T06:05:50.973581+00:00
