id,name,city,country,league,conference,founded_year,arena,capacity,head_coach,nickname,image_url,website,description,ranking,category,titles,playoff_appearances,market_value,current_season_record,star_player,owner,general_manager,honors_json,last_updated
1227,Virgen María de África BC,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea Basketball Leagues,Eastern,2012,Virgen María de África BC Arena,7748,TBD,BC,https://upload.wikimedia.org/wikipedia/en/2/2b/Virgen_Mari%C3%A1_de_Africa_BC_logo.png,https://en.wikipedia.org/wiki/Virgen_María_de_África_BC,Virgen María de África BC is an Equatoguinean basketball club. The club's colors are orange and white.,2870,men,0,9,€5M,23-18,TBD,TBD,TBD,"{""Equatorial Guinea Basketball Leagues Titles"": 0}",2026-05-12T21:11:07.121480+00:00
1229,Estonia men's national basketball team results (2017–present),Estonia,Estonia,Estonia Basketball Leagues,Eastern,1952,Estonia men's national basketball team results (2017–present) Arena,18539,TBD,(2017–present),,https://en.wikipedia.org/wiki/Estonia_men's_national_basketball_team_results_(2017–present),This is a list of the Estonia men's national basketball team results from 2017 to present.,3520,men,9,18,€11M,26-15,TBD,TBD,TBD,"{""Estonia Basketball Leagues Titles"": 9}",2026-05-12T21:11:13.347932+00:00
1230,Estonia women's national basketball team,Estonia,Estonia,Estonia Basketball Leagues,Western,1961,Estonia women's national basketball team Arena,7739,TBD,team,https://upload.wikimedia.org/wikipedia/en/4/42/Estonia_basketball_2015.png,https://en.wikipedia.org/wiki/Estonia_women's_national_basketball_team,The Estonia women's national basketball team represents Estonia in international women's basketball matches. They are controlled by the Estonian Basketball Association.,5084,men,10,28,€4M,21-28,TBD,TBD,TBD,"{""Estonia Basketball Leagues Titles"": 10}",2026-05-12T21:11:16.520340+00:00
541,USK Praha (women's basketball),Women's by country,Women's by country,Women's by country Basketball Leagues,Eastern,2008,USK Praha (women's basketball) Arena,13813,TBD,basketball),https://upload.wikimedia.org/wikipedia/en/d/de/USK_Praha_Women%27s_logo.png,https://en.wikipedia.org/wiki/USK_Praha_(women's_basketball),"USK Praha is a Czech professional women's basketball club that was founded in 1953 in the city of Prague. USK Praha plays in the Czech League, the highest competition in the Czech Republic. It is a 26-times national champion. On the international scene, the team’s greatest successes have been winning the Ronchetti Cup in the 1975/76 season, the EuroLeague in the 2014/15 and 2024/25 seasons, and the FIBA SuperCup in 2015.",2331,men,3,19,€4M,13-22,TBD,TBD,TBD,"{""Women's by country Basketball Leagues Titles"": 3}",2026-05-12T20:38:13.549578+00:00
545,France women's national 3x3 team,Women's by country,Women's by country,Women's by country Basketball Leagues,Eastern,1989,France women's national 3x3 team Arena,15012,TBD,team,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Flag_of_France.svg/330px-Flag_of_France.svg.png,https://en.wikipedia.org/wiki/France_women's_national_3x3_team,"The France women's national 3x3 team is the national 3x3 basketball team of France, administered by the Fédération Française de Basketball. It represents the country in international 3x3 women's basketball competitions.",231,men,8,37,€20M,21-13,TBD,TBD,TBD,"{""Women's by country Basketball Leagues Titles"": 8}",2026-05-12T20:38:24.826161+00:00
1409,Itzehoe Eagles,Germany,Germany,Germany Basketball Leagues,Eastern,2008,Itzehoe Eagles Arena,14491,TBD,Eagles,,https://en.wikipedia.org/wiki/Itzehoe_Eagles,No description available.,844,men,2,22,€4M,27-27,TBD,TBD,TBD,"{""Germany Basketball Leagues Titles"": 2}",2026-05-12T21:21:29.721594+00:00
1544,Guinea men's national under-18 basketball team,Guinea,Guinea,Guinea Basketball Leagues,Eastern,1994,Guinea men's national under-18 basketball team Arena,6172,TBD,team,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Flag_of_Guinea.svg/330px-Flag_of_Guinea.svg.png,https://en.wikipedia.org/wiki/Guinea_men's_national_under-18_basketball_team,No description available.,4054,men,5,31,€18M,21-14,TBD,TBD,TBD,"{""Guinea Basketball Leagues Titles"": 5}",2026-05-12T21:26:55.331125+00:00
16,CB Gran Canaria,Spain,Spain,Spain Basketball Leagues,Eastern,1991,CB Gran Canaria Arena,12351,TBD,Canaria,https://upload.wikimedia.org/wikipedia/en/thumb/c/c7/CB_Gran_Canaria_logo.svg/330px-CB_Gran_Canaria_logo.svg.png,https://en.wikipedia.org/wiki/CB_Gran_Canaria,"Club Baloncesto Gran Canaria – Claret, S.A.D., known as Dreamland Gran Canaria due to sponsorship, is a professional basketball club based in Las Palmas, Spain. The team plays in the Spanish Liga ACB and the Champions League. Their home venue is the Gran Canaria Arena.",880,men,2,36,€10M,21-24,TBD,TBD,TBD,"{""Spain Basketball Leagues Titles"": 2}",2026-05-12T23:06:18.603462+00:00
12,Força Lleida CE,Spain,Spain,Spain Basketball Leagues,Western,1986,Força Lleida CE Arena,19985,TBD,CE,https://upload.wikimedia.org/wikipedia/en/9/93/Hiopos_Lleida.png,https://en.wikipedia.org/wiki/Força_Lleida_CE,No description available.,3911,men,5,40,€11M,30-14,TBD,TBD,TBD,"{""Spain Basketball Leagues Titles"": 5}",2026-05-12T23:08:34.999885+00:00
15,Bàsquet Girona,Spain,Spain,Spain Basketball Leagues,Western,1965,Bàsquet Girona Arena,18336,TBD,Girona,https://upload.wikimedia.org/wikipedia/en/thumb/2/2b/B%C3%A0squet_Girona.svg/330px-B%C3%A0squet_Girona.svg.png,https://en.wikipedia.org/wiki/Bàsquet_Girona,No description available.,5075,men,3,37,€6M,29-20,TBD,TBD,TBD,"{""Spain Basketball Leagues Titles"": 3}",2026-05-12T23:08:37.012171+00:00
19,Bàsquet Manresa,Spain,Spain,Spain Basketball Leagues,Eastern,1962,Bàsquet Manresa Arena,11068,TBD,Manresa,https://upload.wikimedia.org/wikipedia/en/4/46/Baxi_Manresa_logo.png,https://en.wikipedia.org/wiki/Bàsquet_Manresa,No description available.,5040,men,6,20,€3M,27-12,TBD,TBD,TBD,"{""Spain Basketball Leagues Titles"": 6}",2026-05-12T23:08:50.709121+00:00
10,Básquet Coruña,Spain,Spain,Spain Basketball Leagues,Eastern,1972,Básquet Coruña Arena,11201,TBD,Coruña,https://upload.wikimedia.org/wikipedia/en/thumb/9/97/B%C3%A1squet_Coru%C3%B1a.svg/330px-B%C3%A1squet_Coru%C3%B1a.svg.png,https://en.wikipedia.org/wiki/Básquet_Coruña,No description available.,1357,men,3,8,€7M,17-30,TBD,TBD,TBD,"{""Spain Basketball Leagues Titles"": 3}",2026-05-12T23:09:45.161727+00:00
21,Obradoiro CAB,Spain,Spain,Spain Basketball Leagues,Western,2003,Obradoiro CAB Arena,12169,TBD,CAB,https://upload.wikimedia.org/wikipedia/en/3/3e/Obradoiro_CAB_logo.png,https://en.wikipedia.org/wiki/Obradoiro_CAB,No description available.,654,men,3,12,€2M,12-10,TBD,TBD,TBD,"{""Spain Basketball Leagues Titles"": 3}",2026-05-12T23:09:53.332324+00:00
11,CB Estudiantes,Spain,Spain,Spain Basketball Leagues,Western,1977,CB Estudiantes Arena,7531,TBD,Estudiantes,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Club_Baloncesto_Estudiantes_Madrid_%28logo%29.svg/330px-Club_Baloncesto_Estudiantes_Madrid_%28logo%29.svg.png,https://en.wikipedia.org/wiki/CB_Estudiantes,"Club Baloncesto Estudiantes, S.A.D., known simply as Estu and as Movistar Estudiantes for sponsorship reasons, is a basketball team based in the city of Madrid, Spain. It is a member of the Asociación de Clubes de Baloncesto (ACB). Founded in 1948, it is one of the most recognized basketball teams in Spain.",3846,men,5,17,€18M,27-12,TBD,TBD,TBD,"{""Spain Basketball Leagues Titles"": 5}",2026-05-12T23:10:20.563103+00:00
13,Baloncesto Fuenlabrada,Spain,Spain,Spain Basketball Leagues,Eastern,1974,Baloncesto Fuenlabrada Arena,18281,TBD,Fuenlabrada,https://upload.wikimedia.org/wikipedia/en/5/54/Logo_of_Baloncesto_Fuenlabrada.png,https://en.wikipedia.org/wiki/Baloncesto_Fuenlabrada,"Baloncesto Fuenlabrada, S.A.D., known as Flexicar Fuenlabrada because of sponsorship reasons, or just as Fuenlabrada, is a professional basketball team based in Fuenlabrada, Spain. The team plays in the Primera FEB and plays their home games at Fernando Martín.",718,men,7,28,€2M,26-29,TBD,TBD,TBD,"{""Spain Basketball Leagues Titles"": 7}",2026-05-12T23:10:23.657317+00:00
4424,Matt Pitman,the United States,the United States,the United States Basketball Leagues,Western,1963,Matt Pitman Arena,17290,TBD,Pitman,,https://en.wikipedia.org/wiki/Matt_Pitman,"Matt Pitman is an American public address announcer. He was the public address announcer for the Golden State Warriors of the National Basketball Association (NBA) from 2019 to 2024, and previously for the Seattle SuperSonics and the Seattle Storm of the WNBA.",4166,women,0,21,€2M,16-17,TBD,TBD,TBD,"{""the United States Basketball Leagues Titles"": 0}",2026-05-12T23:56:22.420477+00:00
390,KK Vršac,Basketball teams by former country,Basketball teams by former country,Basketball teams by former country Basketball Leagues,Eastern,1976,KK Vršac Arena,10398,TBD,Vršac,https://upload.wikimedia.org/wikipedia/en/thumb/c/c5/Kkvrsac.png/330px-Kkvrsac.png,https://en.wikipedia.org/wiki/KK_Vršac,No description available.,2752,men,7,17,€18M,23-24,TBD,TBD,TBD,"{""Basketball teams by former country Basketball Leagues Titles"": 7}",2026-05-12T20:30:32.048815+00:00
389,KK Vojvodina,Basketball teams by former country,Basketball teams by former country,Basketball teams by former country Basketball Leagues,Western,1980,KK Vojvodina Arena,18707,TBD,Vojvodina,,https://en.wikipedia.org/wiki/KK_Vojvodina,No description available.,2365,men,0,5,€18M,13-20,TBD,TBD,TBD,"{""Basketball teams by former country Basketball Leagues Titles"": 0}",2026-05-12T20:30:29.247841+00:00
1552,Guinea-Bissau women's national under-16 basketball team,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau Basketball Leagues,Eastern,2006,Guinea-Bissau women's national under-16 basketball team Arena,10787,TBD,team,https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Flag_of_Guinea-Bissau.svg/330px-Flag_of_Guinea-Bissau.svg.png,https://en.wikipedia.org/wiki/Guinea-Bissau_women's_national_under-16_basketball_team,"The Guinea-Bissau women's national under-16 and under-17 basketball team is a national basketball team of Guinea-Bissau, administered by the Federacao de Basquetebol da Guinée Bissau.
It represents the country in international women's under-16 and under-17 basketball competitions.",3496,men,0,40,€14M,27-21,TBD,TBD,TBD,"{""Guinea-Bissau Basketball Leagues Titles"": 0}",2026-05-12T21:27:18.919098+00:00
551,Chartres Basket Feminin,Women's by country,Women's by country,Women's by country Basketball Leagues,Eastern,2012,Chartres Basket Feminin Arena,14135,TBD,Feminin,,https://en.wikipedia.org/wiki/Chartres_Basket_Feminin,No description available.,1773,men,5,27,€20M,19-13,TBD,TBD,TBD,"{""Women's by country Basketball Leagues Titles"": 5}",2026-05-12T20:38:41.155136+00:00
560,Stade Clermontois BF,Women's by country,Women's by country,Women's by country Basketball Leagues,Eastern,2005,Stade Clermontois BF Arena,15378,TBD,BF,https://upload.wikimedia.org/wikipedia/en/3/33/Stade_Clermontois_BF_logo.gif,https://en.wikipedia.org/wiki/Stade_Clermontois_BF,"Stade Clermontois Basket Féminin, formerly known as Stade Clermontois Auvergne Basket 63 is a French women's basketball club from Clermont-Ferrand created in 1938, currently playing in 6th tier Regionale Féminine 2. It is the women's basketball section of Stace Clermontois, a sports club also featuring archery, athletics, boxing, canne de combat, fencing, gymnastics, handball, jeu provençal, judo, karate, pétanque, rugby union, savate, swimming, table tennis, tennis, weightlifting, volleyball and wrestling sections.",2970,men,4,6,€3M,21-19,TBD,TBD,TBD,"{""Women's by country Basketball Leagues Titles"": 4}",2026-05-12T20:39:00.478979+00:00
1233,TTÜ-A. Le Coq,Estonia,Estonia,Estonia Basketball Leagues,Eastern,1992,TTÜ-A. Le Coq Arena,6128,TBD,Coq,,https://en.wikipedia.org/wiki/TTÜ-A._Le_Coq,No description available.,4657,men,0,25,€15M,18-11,TBD,TBD,TBD,"{""Estonia Basketball Leagues Titles"": 0}",2026-05-12T21:11:28.289460+00:00
1234,Audentese Spordigümnaasium,Estonia,Estonia,Estonia Basketball Leagues,Western,1982,Audentese Spordigümnaasium Arena,15941,TBD,Spordigümnaasium,,https://en.wikipedia.org/wiki/Audentese_Spordigümnaasium,No description available.,3995,men,8,17,€8M,30-26,TBD,TBD,TBD,"{""Estonia Basketball Leagues Titles"": 8}",2026-05-12T21:11:31.604563+00:00
24,Saski Baskonia,Spain,Spain,Spain Basketball Leagues,Eastern,2000,Saski Baskonia Arena,7715,TBD,Baskonia,https://upload.wikimedia.org/wikipedia/en/6/6a/Saski_Baskonia.png,https://en.wikipedia.org/wiki/Saski_Baskonia,"Club Deportivo Saski-Baskonia, S.A.D commonly known as Saski Baskonia and also simply as Baskonia, is a professional basketball team based in Vitoria-Gasteiz, Spain. The team plays in the Liga ACB and the EuroLeague.",314,men,2,19,€3M,11-17,TBD,TBD,TBD,"{""Spain Basketball Leagues Titles"": 2}",2026-05-12T23:06:06.076289+00:00
4428,1998 WNBA expansion draft,the United States,the United States,the United States Basketball Leagues,Eastern,1976,1998 WNBA expansion draft Arena,19464,TBD,draft,,https://en.wikipedia.org/wiki/1998_WNBA_expansion_draft,No description available.,4670,women,5,19,€11M,21-14,TBD,TBD,TBD,"{""the United States Basketball Leagues Titles"": 5}",2026-05-12T23:56:35.298274+00:00
27,Valencia Basket,Spain,Spain,Spain Basketball Leagues,Western,1977,Valencia Basket Arena,18234,TBD,Basket,https://upload.wikimedia.org/wikipedia/en/thumb/e/e8/Valencia_Basket_logo.svg/330px-Valencia_Basket_logo.svg.png,https://en.wikipedia.org/wiki/Valencia_Basket,No description available.,2168,men,0,20,€2M,13-25,TBD,TBD,TBD,"{""Spain Basketball Leagues Titles"": 0}",2026-05-13T20:38:24.882736+00:00
30,Bamberg Baskets,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1950,Bamberg Baskets Arena,19846,TBD,Baskets,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Bamberg-baskets-logo.svg/330px-Bamberg-baskets-logo.svg.png,https://en.wikipedia.org/wiki/Bamberg_Baskets,No description available.,3478,men,2,23,€16M,17-22,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 2}",2026-05-12T20:21:37.534224+00:00
32,FC Bayern Munich (basketball),Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1998,FC Bayern Munich (basketball) Arena,19068,TBD,(basketball),https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Logo_FC_Bayern_M%C3%BCnchen_Basketball_ab_2022.png/330px-Logo_FC_Bayern_M%C3%BCnchen_Basketball_ab_2022.png,https://en.wikipedia.org/wiki/FC_Bayern_Munich_(basketball),No description available.,4678,men,10,38,€20M,11-26,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 10}",2026-05-12T20:21:42.702590+00:00
25,UCAM Murcia CB,Spain,Spain,Liga ACB,Western,1971,UCAM Murcia CB Center,17048,TBD,CB,https://upload.wikimedia.org/wikipedia/en/thumb/7/7a/CB_Murcia_logo.svg/330px-CB_Murcia_logo.svg.png,https://en.wikipedia.org/wiki/UCAM_Murcia_CB,No description available.,20,men,10,18,€64M,38-22,TBD,TBD,TBD,"{""Liga ACB Titles"": 10}",2026-04-29T10:43:47.334585+00:00
1235,Triobet/Dalkia,Estonia,Estonia,Estonia Basketball Leagues,Western,1969,Triobet/Dalkia Arena,6284,TBD,Triobet/Dalkia,,https://en.wikipedia.org/wiki/Triobet/Dalkia,No description available.,3393,men,7,37,€7M,28-10,TBD,TBD,TBD,"{""Estonia Basketball Leagues Titles"": 7}",2026-05-12T21:11:36.259306+00:00
31,Basketball Löwen Braunschweig,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,2009,Basketball Löwen Braunschweig Arena,16365,TBD,Braunschweig,https://upload.wikimedia.org/wikipedia/en/f/fe/L%C3%B6wen_Braunschweig_logo_2020.png,https://en.wikipedia.org/wiki/Basketball_Löwen_Braunschweig,No description available.,4338,men,5,27,€6M,15-19,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 5}",2026-05-12T20:22:28.456980+00:00
1236,BC Pärnu,Estonia,Estonia,Estonia Basketball Leagues,Eastern,1972,BC Pärnu Arena,16518,TBD,Pärnu,,https://en.wikipedia.org/wiki/BC_Pärnu,No description available.,4651,men,2,7,€12M,16-23,TBD,TBD,TBD,"{""Estonia Basketball Leagues Titles"": 2}",2026-05-12T21:11:39.174386+00:00
1237,Keila Basket,Estonia,Estonia,Estonia Basketball Leagues,Eastern,2002,Keila Basket Arena,18040,TBD,Basket,,https://en.wikipedia.org/wiki/Keila_Basket,No description available.,4056,men,3,39,€16M,13-20,TBD,TBD,TBD,"{""Estonia Basketball Leagues Titles"": 3}",2026-05-12T21:11:41.614427+00:00
2245,BK Barons,Latvia,Latvia,Latvia Basketball Leagues,Eastern,1982,BK Barons Arena,6260,TBD,Barons,https://upload.wikimedia.org/wikipedia/en/thumb/b/bb/BK_Barons_logo.svg/330px-BK_Barons_logo.svg.png,https://en.wikipedia.org/wiki/BK_Barons,"BK Barons/LDz was a professional basketball club who was based in Riga, Latvia. The team played in the first division of the Latvian Basketball League.",2106,men,0,20,€6M,22-23,TBD,TBD,TBD,"{""Latvia Basketball Leagues Titles"": 0}",2026-05-12T22:07:11.346521+00:00
3134,Rwanda women's national basketball team,Rwanda,Rwanda,Rwanda Basketball Leagues,Eastern,1987,Rwanda women's national basketball team Arena,17166,TBD,team,https://upload.wikimedia.org/wikipedia/en/5/56/Ferwaba.jpg,https://en.wikipedia.org/wiki/Rwanda_women's_national_basketball_team,The Rwanda women's national basketball team represents Rwanda in international competitions. It is administered by the Fédération Rwandaise de Basketball Amateur (FERWABA).,471,men,9,28,€2M,24-27,TBD,TBD,TBD,"{""Rwanda Basketball Leagues Titles"": 9}",2026-05-12T22:52:23.018198+00:00
39,Riesen Ludwigsburg,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1995,Riesen Ludwigsburg Arena,7121,TBD,Ludwigsburg,https://upload.wikimedia.org/wikipedia/en/thumb/f/f6/MHP_Riesen_Ludwigsburg_logo.svg/330px-MHP_Riesen_Ludwigsburg_logo.svg.png,https://en.wikipedia.org/wiki/Riesen_Ludwigsburg,No description available.,648,men,0,12,€20M,17-16,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 0}",2026-05-12T20:21:27.740234+00:00
44,USC Heidelberg,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1995,USC Heidelberg Arena,6361,TBD,Heidelberg,https://upload.wikimedia.org/wikipedia/en/thumb/c/c8/Academics_Heidelberg.png/330px-Academics_Heidelberg.png,https://en.wikipedia.org/wiki/USC_Heidelberg,No description available.,363,men,9,26,€13M,10-28,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 9}",2026-05-12T20:21:34.629400+00:00
41,Würzburg Baskets,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1975,Würzburg Baskets Arena,14993,TBD,Baskets,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/WUE_Primary_Logo_rot_transparent_CMYK.png/330px-WUE_Primary_Logo_rot_transparent_CMYK.png,https://en.wikipedia.org/wiki/Würzburg_Baskets,No description available.,4131,men,6,14,€3M,11-21,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 6}",2026-05-12T20:21:56.961498+00:00
42,Skyliners Frankfurt,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1963,Skyliners Frankfurt Arena,10792,TBD,Frankfurt,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/Fraport_Skyliners_logo.png/330px-Fraport_Skyliners_logo.png,https://en.wikipedia.org/wiki/Skyliners_Frankfurt,"The Skyliners Frankfurt, formerly known as Fraport Skyliners for sponsorship reasons, are a professional basketball club based in Frankfurt, Germany. Their home arena is Ballsporthalle.",1697,men,9,9,€9M,28-17,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 9}",2026-05-12T20:22:19.381904+00:00
34,BG Göttingen,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Eastern,1994,BG Göttingen Arena,16577,TBD,Göttingen,https://upload.wikimedia.org/wikipedia/en/4/43/BG_G%C3%B6ttingen_logo.png,https://en.wikipedia.org/wiki/BG_Göttingen,No description available.,857,men,0,19,€20M,14-10,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 0}",2026-05-12T20:22:36.730714+00:00
45,SC Rasta Vechta,Basketball teams by country subdivision,Basketball teams by country subdivision,Basketball teams by country subdivision Basketball Leagues,Western,1992,SC Rasta Vechta Arena,10314,TBD,Vechta,https://upload.wikimedia.org/wikipedia/en/thumb/d/d5/SC_Rasta_Vechta_logo.jpg/330px-SC_Rasta_Vechta_logo.jpg,https://en.wikipedia.org/wiki/SC_Rasta_Vechta,No description available.,3119,men,1,14,€4M,26-28,TBD,TBD,TBD,"{""Basketball teams by country subdivision Basketball Leagues Titles"": 1}",2026-05-12T20:22:43.596417+00:00
